Brand,Tweet,Sentiment
Apple,The price is similar to other brands.,Neutral
Paytm,Customer support replied within a day.,Neutral
Zomato,I will never buy from this brand again.,Negative
Paytm,This brand never disappoints me.,Positive
Amazon,The phone has a 5000mAh battery.,Neutral
Samsung,Super fast shipping and great packaging.,Positive
OnePlus,Terrible service and rude staff.,Negative
OnePlus,It is available in different colors.,Neutral
Samsung,Super fast shipping and great packaging.,Positive
Amazon,Poor quality and broke after one day.,Negative
Zomato,The delivery was delayed and customer support was terrible.,Negative
Boat,This brand never disappoints me.,Positive
Samsung,Very disappointed with this product.,Negative
Swiggy,I bought this product last week.,Neutral
OnePlus,Poor quality and broke after one day.,Negative
Samsung,The phone has a 5000mAh battery.,Neutral
Samsung,I absolutely love this product! Amazing quality and fast delivery.,Positive
Zomato,It is available in different colors.,Neutral
OnePlus,Very disappointed with this product.,Negative
Zomato,I absolutely love this product! Amazing quality and fast delivery.,Positive
Boat,I absolutely love this product! Amazing quality and fast delivery.,Positive
Boat,Loved the new update. It works perfectly.,Positive
Swiggy,This brand never disappoints me.,Positive
Boat,It is available in different colors.,Neutral
Apple,The product arrived today.,Neutral
OnePlus,The phone has a 5000mAh battery.,Neutral
Samsung,The app has received a new update.,Neutral
Boat,The service was excellent and I'm very happy with my purchase.,Positive
Swiggy,The phone has a 5000mAh battery.,Neutral
Swiggy,Fantastic experience. Highly recommended!,Positive
Flipkart,The delivery was delayed and customer support was terrible.,Negative
Paytm,Not worth the price at all.,Negative
Samsung,The service was excellent and I'm very happy with my purchase.,Positive
Swiggy,Best purchase I've made this year.,Positive
Flipkart,Very disappointed with this product.,Negative
Flipkart,The delivery was delayed and customer support was terrible.,Negative
Paytm,The delivery took three days.,Neutral
Nike,Poor quality and broke after one day.,Negative
Flipkart,Bad packaging and damaged item received.,Negative
Apple,Best purchase I've made this year.,Positive
Flipkart,Five stars! Worth every rupee.,Positive
Swiggy,The delivery was delayed and customer support was terrible.,Negative
Nike,Great customer support and easy to use app.,Positive
Boat,Best purchase I've made this year.,Positive
Amazon,Very disappointed with this product.,Negative
Amazon,The price is similar to other brands.,Neutral
Flipkart,The package includes a charger and cable.,Neutral
Amazon,Bad packaging and damaged item received.,Negative
Nike,This brand never disappoints me.,Positive
Zomato,Very disappointed with this product.,Negative
Nike,The service was excellent and I'm very happy with my purchase.,Positive
OnePlus,Great customer support and easy to use app.,Positive
Boat,Customer support replied within a day.,Neutral
Apple,The product arrived today.,Neutral
Flipkart,Five stars! Worth every rupee.,Positive
Swiggy,The app keeps crashing and is frustrating to use.,Negative
Zomato,Five stars! Worth every rupee.,Positive
Flipkart,Five stars! Worth every rupee.,Positive
Nike,Worst experience ever. Waste of money.,Negative
Swiggy,I will never buy from this brand again.,Negative
Flipkart,Poor quality and broke after one day.,Negative
Paytm,Fantastic experience. Highly recommended!,Positive
Boat,Bad packaging and damaged item received.,Negative
Swiggy,The phone has a 5000mAh battery.,Neutral
Boat,This is my first time using this brand.,Neutral
Swiggy,The service was excellent and I'm very happy with my purchase.,Positive
Flipkart,I bought this product last week.,Neutral
Swiggy,The product arrived today.,Neutral
Zomato,Bad packaging and damaged item received.,Negative
Flipkart,The delivery took three days.,Neutral
Amazon,I absolutely love this product! Amazing quality and fast delivery.,Positive
Samsung,Super fast shipping and great packaging.,Positive
Flipkart,This is my first time using this brand.,Neutral
Boat,Poor quality and broke after one day.,Negative
Apple,The delivery was delayed and customer support was terrible.,Negative
Zomato,The app keeps crashing and is frustrating to use.,Negative
Nike,The delivery was delayed and customer support was terrible.,Negative
Boat,The phone has a 5000mAh battery.,Neutral
Swiggy,The phone has a 5000mAh battery.,Neutral
Apple,Bad packaging and damaged item received.,Negative
Samsung,Super fast shipping and great packaging.,Positive
Samsung,Poor quality and broke after one day.,Negative
Amazon,The phone has a 5000mAh battery.,Neutral
Apple,Poor quality and broke after one day.,Negative
OnePlus,The delivery was delayed and customer support was terrible.,Negative
Flipkart,Poor quality and broke after one day.,Negative
Apple,The package includes a charger and cable.,Neutral
OnePlus,The product did not match the description.,Negative
Flipkart,Bad packaging and damaged item received.,Negative
Swiggy,The package includes a charger and cable.,Neutral
OnePlus,Poor quality and broke after one day.,Negative
Amazon,Fantastic experience. Highly recommended!,Positive
Paytm,Very satisfied with the quality and performance.,Positive
Boat,Fantastic experience. Highly recommended!,Positive
OnePlus,Very disappointed with this product.,Negative
OnePlus,The package includes a charger and cable.,Neutral
Boat,I will never buy from this brand again.,Negative
Paytm,Five stars! Worth every rupee.,Positive
Paytm,Bad packaging and damaged item received.,Negative
Nike,The price is similar to other brands.,Neutral
Paytm,The package includes a charger and cable.,Neutral
Nike,It is available in different colors.,Neutral
Swiggy,Terrible service and rude staff.,Negative
Swiggy,This is my first time using this brand.,Neutral
Swiggy,Very disappointed with this product.,Negative
Zomato,Great customer support and easy to use app.,Positive
Boat,This is my first time using this brand.,Neutral
Amazon,It is available in different colors.,Neutral
Flipkart,Super fast shipping and great packaging.,Positive
OnePlus,Poor quality and broke after one day.,Negative
Samsung,Five stars! Worth every rupee.,Positive
Paytm,Five stars! Worth every rupee.,Positive
Amazon,The package includes a charger and cable.,Neutral
Zomato,The package includes a charger and cable.,Neutral
Swiggy,Terrible service and rude staff.,Negative
Swiggy,The app has received a new update.,Neutral
Zomato,Poor quality and broke after one day.,Negative
Apple,The delivery was delayed and customer support was terrible.,Negative
Swiggy,I bought this product last week.,Neutral
Paytm,Great customer support and easy to use app.,Positive
Flipkart,Five stars! Worth every rupee.,Positive
Nike,Five stars! Worth every rupee.,Positive
Amazon,It is available in different colors.,Neutral
Samsung,Customer support replied within a day.,Neutral
Flipkart,It is available in different colors.,Neutral
Flipkart,Bad packaging and damaged item received.,Negative
Boat,Poor quality and broke after one day.,Negative
Boat,Five stars! Worth every rupee.,Positive
Samsung,Super fast shipping and great packaging.,Positive
Paytm,I absolutely love this product! Amazing quality and fast delivery.,Positive
OnePlus,The app has received a new update.,Neutral
Samsung,Terrible service and rude staff.,Negative
Paytm,It is available in different colors.,Neutral
Apple,Five stars! Worth every rupee.,Positive
Samsung,Customer support replied within a day.,Neutral
Samsung,The product did not match the description.,Negative
Boat,I bought this product last week.,Neutral
Nike,The product arrived today.,Neutral
Nike,Very satisfied with the quality and performance.,Positive
Swiggy,Not worth the price at all.,Negative
Samsung,Fantastic experience. Highly recommended!,Positive
Amazon,The app has received a new update.,Neutral
Apple,Worst experience ever. Waste of money.,Negative
Flipkart,I absolutely love this product! Amazing quality and fast delivery.,Positive
Paytm,Fantastic experience. Highly recommended!,Positive
Swiggy,Great customer support and easy to use app.,Positive
Amazon,The delivery took three days.,Neutral
Amazon,Worst experience ever. Waste of money.,Negative
OnePlus,The delivery was delayed and customer support was terrible.,Negative
Flipkart,This brand never disappoints me.,Positive
OnePlus,Fantastic experience. Highly recommended!,Positive
Zomato,The service was excellent and I'm very happy with my purchase.,Positive
OnePlus,This brand never disappoints me.,Positive
Zomato,This brand never disappoints me.,Positive
Samsung,Very disappointed with this product.,Negative
Zomato,Poor quality and broke after one day.,Negative
Samsung,The package includes a charger and cable.,Neutral
Nike,Very disappointed with this product.,Negative
Amazon,Poor quality and broke after one day.,Negative
Paytm,This is my first time using this brand.,Neutral
Boat,Terrible service and rude staff.,Negative
Amazon,Great customer support and easy to use app.,Positive
Apple,Worst experience ever. Waste of money.,Negative
Amazon,Terrible service and rude staff.,Negative
Apple,Loved the new update. It works perfectly.,Positive
Nike,Bad packaging and damaged item received.,Negative
OnePlus,It is available in different colors.,Neutral
Paytm,Terrible service and rude staff.,Negative
Flipkart,I bought this product last week.,Neutral
Boat,Worst experience ever. Waste of money.,Negative
Apple,The package includes a charger and cable.,Neutral
Swiggy,Five stars! Worth every rupee.,Positive
Samsung,The app has received a new update.,Neutral
Flipkart,Poor quality and broke after one day.,Negative
Paytm,Five stars! Worth every rupee.,Positive
Amazon,The product arrived today.,Neutral
Swiggy,The delivery was delayed and customer support was terrible.,Negative
Flipkart,Not worth the price at all.,Negative
Samsung,Poor quality and broke after one day.,Negative
Paytm,Loved the new update. It works perfectly.,Positive
Amazon,Very satisfied with the quality and performance.,Positive
Samsung,Super fast shipping and great packaging.,Positive
Flipkart,This is my first time using this brand.,Neutral
Nike,Worst experience ever. Waste of money.,Negative
Amazon,This brand never disappoints me.,Positive
Samsung,The service was excellent and I'm very happy with my purchase.,Positive
Zomato,The package includes a charger and cable.,Neutral
Amazon,It is available in different colors.,Neutral
Flipkart,The product arrived today.,Neutral
OnePlus,The product arrived today.,Neutral
Boat,The phone has a 5000mAh battery.,Neutral
Samsung,Five stars! Worth every rupee.,Positive
Apple,Great customer support and easy to use app.,Positive
Apple,Best purchase I've made this year.,Positive
OnePlus,The package includes a charger and cable.,Neutral
Zomato,It is available in different colors.,Neutral
Apple,Poor quality and broke after one day.,Negative
OnePlus,I will never buy from this brand again.,Negative
Paytm,Bad packaging and damaged item received.,Negative
